year;c_FIT_value;c_FIT_scenario
2019;10.71;S_0_percent_degression
2020;9.87;S_0_percent_degression
2021;9.87;S_0_percent_degression
2022;9.87;S_0_percent_degression
2023;9.87;S_0_percent_degression
2024;9.87;S_0_percent_degression
2025;9.87;S_0_percent_degression
2026;9.87;S_0_percent_degression
2027;9.87;S_0_percent_degression
2028;9.87;S_0_percent_degression
2029;9.87;S_0_percent_degression
2030;9.87;S_0_percent_degression
2031;9.87;S_0_percent_degression
2032;9.87;S_0_percent_degression
2033;9.87;S_0_percent_degression
2034;9.87;S_0_percent_degression
2035;9.87;S_0_percent_degression
2036;9.87;S_0_percent_degression
2037;9.87;S_0_percent_degression
2038;9.87;S_0_percent_degression
2039;9.87;S_0_percent_degression
2040;9.87;S_0_percent_degression
2041;9.87;S_0_percent_degression
2042;9.87;S_0_percent_degression
2043;9.87;S_0_percent_degression
2044;9.87;S_0_percent_degression
2045;9.87;S_0_percent_degression
2046;9.87;S_0_percent_degression
2047;9.87;S_0_percent_degression
2048;9.87;S_0_percent_degression
2049;9.87;S_0_percent_degression
2050;9.87;S_0_percent_degression
2019;9.87;S_0.5_percent_monthly_degression
2020;9.29;S_0.5_percent_monthly_degression
2021;8.75;S_0.5_percent_monthly_degression
2022;8.24;S_0.5_percent_monthly_degression
2023;7.76;S_0.5_percent_monthly_degression
2024;7.31;S_0.5_percent_monthly_degression
2025;6.88;S_0.5_percent_monthly_degression
2026;6.48;S_0.5_percent_monthly_degression
2027;6.10;S_0.5_percent_monthly_degression
2028;5.74;S_0.5_percent_monthly_degression
2029;5.41;S_0.5_percent_monthly_degression
2030;5.09;S_0.5_percent_monthly_degression
2031;4.80;S_0.5_percent_monthly_degression
2032;4.52;S_0.5_percent_monthly_degression
2033;4.25;S_0.5_percent_monthly_degression
2034;4.00;S_0.5_percent_monthly_degression
2035;3.77;S_0.5_percent_monthly_degression
2036;3.55;S_0.5_percent_monthly_degression
2037;3.34;S_0.5_percent_monthly_degression
2038;3.15;S_0.5_percent_monthly_degression
2039;2.96;S_0.5_percent_monthly_degression
2040;2.79;S_0.5_percent_monthly_degression
2041;2.63;S_0.5_percent_monthly_degression
2042;2.47;S_0.5_percent_monthly_degression
2043;2.33;S_0.5_percent_monthly_degression
2044;2.19;S_0.5_percent_monthly_degression
2045;2.07;S_0.5_percent_monthly_degression
2046;1.95;S_0.5_percent_monthly_degression
2047;1.83;S_0.5_percent_monthly_degression
2048;1.72;S_0.5_percent_monthly_degression
2049;1.62;S_0.5_percent_monthly_degression
2050;1.53;S_0.5_percent_monthly_degression
2019;10.71;S_1_percent_monthly_degression
2020;9.49;S_1_percent_monthly_degression
2021;8.41;S_1_percent_monthly_degression
2022;7.46;S_1_percent_monthly_degression
2023;6.61;S_1_percent_monthly_degression
2024;5.86;S_1_percent_monthly_degression
2025;5.19;S_1_percent_monthly_degression
2026;4.60;S_1_percent_monthly_degression
2027;4.08;S_1_percent_monthly_degression
2028;3.62;S_1_percent_monthly_degression
2029;3.21;S_1_percent_monthly_degression
2030;2.84;S_1_percent_monthly_degression
2031;2.52;S_1_percent_monthly_degression
2032;2.23;S_1_percent_monthly_degression
2033;1.98;S_1_percent_monthly_degression
2034;1.75;S_1_percent_monthly_degression
2035;1.56;S_1_percent_monthly_degression
2036;1.38;S_1_percent_monthly_degression
2037;1.22;S_1_percent_monthly_degression
2038;1.08;S_1_percent_monthly_degression
2039;0.96;S_1_percent_monthly_degression
2040;0.85;S_1_percent_monthly_degression
2041;0.75;S_1_percent_monthly_degression
2042;0.67;S_1_percent_monthly_degression
2043;0.59;S_1_percent_monthly_degression
2044;0.53;S_1_percent_monthly_degression
2045;0.47;S_1_percent_monthly_degression
2046;0.41;S_1_percent_monthly_degression
2047;0.37;S_1_percent_monthly_degression
2048;0.32;S_1_percent_monthly_degression
2049;0.29;S_1_percent_monthly_degression
2050;0.25;S_1_percent_monthly_degression
2019;10.71;S_2_percent_monthly_degression
2020;8.40;S_2_percent_monthly_degression
2021;6.60;S_2_percent_monthly_degression
2022;5.18;S_2_percent_monthly_degression
2023;4.06;S_2_percent_monthly_degression
2024;3.19;S_2_percent_monthly_degression
2025;2.50;S_2_percent_monthly_degression
2026;1.96;S_2_percent_monthly_degression
2027;1.54;S_2_percent_monthly_degression
2028;1.21;S_2_percent_monthly_degression
2029;0.95;S_2_percent_monthly_degression
2030;0.74;S_2_percent_monthly_degression
2031;0.58;S_2_percent_monthly_degression
2032;0.46;S_2_percent_monthly_degression
2033;0.36;S_2_percent_monthly_degression
2034;0.28;S_2_percent_monthly_degression
2035;0.22;S_2_percent_monthly_degression
2036;0.17;S_2_percent_monthly_degression
2037;0.14;S_2_percent_monthly_degression
2038;0.11;S_2_percent_monthly_degression
2039;0.08;S_2_percent_monthly_degression
2040;0.07;S_2_percent_monthly_degression
2041;0.05;S_2_percent_monthly_degression
2042;0.04;S_2_percent_monthly_degression
2043;0.03;S_2_percent_monthly_degression
2044;0.02;S_2_percent_monthly_degression
2045;0.02;S_2_percent_monthly_degression
2046;0.02;S_2_percent_monthly_degression
2047;0.01;S_2_percent_monthly_degression
2048;0.01;S_2_percent_monthly_degression
2049;0.01;S_2_percent_monthly_degression
2050;0.01;S_2_percent_monthly_degression
2019;10.71;S_2_8_percent_monthly_degression
2020;7.62;S_2_8_percent_monthly_degression
2021;5.42;S_2_8_percent_monthly_degression
2022;3.85;S_2_8_percent_monthly_degression
2023;2.74;S_2_8_percent_monthly_degression
2024;1.95;S_2_8_percent_monthly_degression
2025;1.39;S_2_8_percent_monthly_degression
2026;0.99;S_2_8_percent_monthly_degression
2027;0.70;S_2_8_percent_monthly_degression
2028;0.50;S_2_8_percent_monthly_degression
2029;0.35;S_2_8_percent_monthly_degression
2030;0.25;S_2_8_percent_monthly_degression
2031;0.18;S_2_8_percent_monthly_degression
2032;0.13;S_2_8_percent_monthly_degression
2033;0.09;S_2_8_percent_monthly_degression
2034;0.06;S_2_8_percent_monthly_degression
2035;0.05;S_2_8_percent_monthly_degression
2036;0.03;S_2_8_percent_monthly_degression
2037;0.02;S_2_8_percent_monthly_degression
2038;0.02;S_2_8_percent_monthly_degression
2039;0.01;S_2_8_percent_monthly_degression
2040;0.01;S_2_8_percent_monthly_degression
2041;0.01;S_2_8_percent_monthly_degression
2042;0.00;S_2_8_percent_monthly_degression
2043;0.00;S_2_8_percent_monthly_degression
2044;0.00;S_2_8_percent_monthly_degression
2045;0.00;S_2_8_percent_monthly_degression
2046;0.00;S_2_8_percent_monthly_degression
2047;0.00;S_2_8_percent_monthly_degression
2048;0.00;S_2_8_percent_monthly_degression
2049;0.00;S_2_8_percent_monthly_degression
2050;0.00;S_2_8_percent_monthly_degression
