reg_year;stock_year;num_cars
1979;2018;30069
1980;2018;23614
1981;2018;25607
1982;2018;28930
1983;2018;35351
1984;2018;34813
1985;2018;36810
1986;2018;47968
1987;2018;59563
1988;2018;70841
1989;2018;95171
1990;2018;127771
1991;2018;172523
1992;2018;179023
1993;2018;175977
1994;2018;219672
1995;2018;330614
1996;2018;447139
1997;2018;600044
1998;2018;805294
1999;2018;1073831
2000;2018;1093988
2001;2018;1260961
2002;2018;1402213
2003;2018;1616812
2004;2018;1765529
2005;2018;2010822
2006;2018;2310465
2007;2018;2198307
2008;2018;2331512
2009;2018;3142495
2010;2018;2409507
2011;2018;2710883
2012;2018;2681385
2013;2018;2573462
2014;2018;2681496
2015;2018;3028961
2016;2018;3130587
2017;2018;3152304
