c_specific_consumption_construction_year;c_specific_consumption_technology;c_specific_consumption_value
2019;tec_fcev;28.4
2020;tec_fcev;28.4
2021;tec_fcev;28.4
2022;tec_fcev;28.4
2023;tec_fcev;28.4
2024;tec_fcev;28.4
2025;tec_fcev;28.4
2026;tec_fcev;28.4
2027;tec_fcev;28.4
2028;tec_fcev;28.4
2029;tec_fcev;28.4
2030;tec_fcev;28.4
2031;tec_fcev;28.4
2032;tec_fcev;28.4
2033;tec_fcev;28.4
2034;tec_fcev;28.4
2035;tec_fcev;28.4
2036;tec_fcev;28.4
2037;tec_fcev;28.4
2038;tec_fcev;28.4
2039;tec_fcev;28.4
2040;tec_fcev;28.4
2041;tec_fcev;28.4
2042;tec_fcev;28.4
2043;tec_fcev;28.4
2044;tec_fcev;28.4
2045;tec_fcev;28.4
2046;tec_fcev;28.4
2047;tec_fcev;28.4
2048;tec_fcev;28.4
2049;tec_fcev;28.4
2050;tec_fcev;28.4
2019;tec_bev;24.0
2020;tec_bev;23.84
2021;tec_bev;23.67
2022;tec_bev;23.51
2023;tec_bev;23.35
2024;tec_bev;23.18
2025;tec_bev;23.02
2026;tec_bev;22.85
2027;tec_bev;22.69
2028;tec_bev;22.53
2029;tec_bev;22.36
2030;tec_bev;19.9
2031;tec_bev;19.69
2032;tec_bev;19.48
2033;tec_bev;19.27
2034;tec_bev;19.06
2035;tec_bev;18.85
2036;tec_bev;18.64
2037;tec_bev;18.43
2038;tec_bev;18.22
2039;tec_bev;18.01
2040;tec_bev;17.8
2041;tec_bev;17.59
2042;tec_bev;17.38
2043;tec_bev;17.17
2044;tec_bev;16.96
2045;tec_bev;16.75
2046;tec_bev;16.54
2047;tec_bev;16.33
2048;tec_bev;16.12
2049;tec_bev;15.91
2050;tec_bev;17.0
