# in GWel;;;;;;
;total;mobility;industry;heat;re_electrification;injection
2009;0;0;0.0000625;0.000055;0.0000225;0.0000775
2010;0;0;0.0000625;0.000055;0.0000225;0.0000775
2011;0;0;0.0001375;0.000121;0.0000495;0.0001705
2012;0;0;0.00043;0.0003784;0.0001548;0.0005332
2013;0.01;0;0.00243111;0.002139377;0.0008752;0.003014576
2014;0.01;0;0.00282361;0.002484777;0.0010165;0.003501276
2015;0.02;0.01;0.00413761;0.003641097;0.00148954;0.005130636
2016;0.02;0.01;0.00410636;0.003613597;0.00147829;0.005091886
2017;0.03;0.01;0.00680261;0.005986297;0.00244894;0.008435236
2018;0.03;0.01;0.00710261;0.006250297;0.00255694;0.008807236
