year;c_EEX_value;c_EEX_scenario
2019;0.035;EEX_low
2020;0.035;EEX_low
2021;0.035;EEX_low
2022;0.035;EEX_low
2023;0.035;EEX_low
2024;0.035;EEX_low
2025;0.035;EEX_low
2026;0.035;EEX_low
2027;0.035;EEX_low
2028;0.035;EEX_low
2029;0.035;EEX_low
2030;0.035;EEX_low
2031;0.035;EEX_low
2032;0.035;EEX_low
2033;0.035;EEX_low
2034;0.035;EEX_low
2035;0.035;EEX_low
2036;0.035;EEX_low
2037;0.035;EEX_low
2038;0.035;EEX_low
2039;0.035;EEX_low
2040;0.035;EEX_low
2041;0.035;EEX_low
2042;0.035;EEX_low
2043;0.035;EEX_low
2044;0.035;EEX_low
2045;0.035;EEX_low
2046;0.035;EEX_low
2047;0.035;EEX_low
2048;0.035;EEX_low
2049;0.035;EEX_low
2050;0.035;EEX_low
2051;0.035;EEX_low
2052;0.035;EEX_low
2053;0.035;EEX_low
2054;0.035;EEX_low
2055;0.035;EEX_low
2056;0.035;EEX_low
2057;0.035;EEX_low
2058;0.035;EEX_low
2059;0.035;EEX_low
2060;0.035;EEX_low
2061;0.035;EEX_low
2062;0.035;EEX_low
2063;0.035;EEX_low
2064;0.035;EEX_low
2065;0.035;EEX_low
2066;0.035;EEX_low
2067;0.035;EEX_low
2068;0.035;EEX_low
2069;0.035;EEX_low
2070;0.035;EEX_low
2019;0.035;EEX_high
2020;0.0391;EEX_high
2021;0.0432;EEX_high
2022;0.0473;EEX_high
2023;0.0514;EEX_high
2024;0.0555;EEX_high
2025;0.0595;EEX_high
2026;0.0636;EEX_high
2027;0.0677;EEX_high
2028;0.0718;EEX_high
2029;0.0759;EEX_high
2030;0.08;EEX_high
2031;0.081;EEX_high
2032;0.0819;EEX_high
2033;0.0829;EEX_high
2034;0.0838;EEX_high
2035;0.0848;EEX_high
2036;0.0857;EEX_high
2037;0.0867;EEX_high
2038;0.0876;EEX_high
2039;0.0886;EEX_high
2040;0.0895;EEX_high
2041;0.0905;EEX_high
2042;0.0914;EEX_high
2043;0.0924;EEX_high
2044;0.0933;EEX_high
2045;0.0943;EEX_high
2046;0.0952;EEX_high
2047;0.0962;EEX_high
2048;0.0971;EEX_high
2049;0.0981;EEX_high
2050;0.1;EEX_high
2051;0.1;EEX_high
2052;0.1;EEX_high
2053;0.1;EEX_high
2054;0.1;EEX_high
2055;0.1;EEX_high
2056;0.1;EEX_high
2057;0.1;EEX_high
2058;0.1;EEX_high
2059;0.1;EEX_high
2060;0.1;EEX_high
2061;0.1;EEX_high
2062;0.1;EEX_high
2063;0.1;EEX_high
2064;0.1;EEX_high
2065;0.1;EEX_high
2066;0.1;EEX_high
2067;0.1;EEX_high
2068;0.1;EEX_high
2069;0.1;EEX_high
2070;0.1;EEX_high
