alternative;year;attribute;attribute_level
tec_bev;2018;att_CAPEX;23967
tec_cv;2050;att_CAPEX;22250
tec_fcev;2018;att_CAPEX;46218
tec_cv;2018;att_Co2_tax;no_co2_tax
tec_cv;2050;att_Co2_tax;no_co2_tax
tec_bev;2018;att_fuel_cost;3.58
tec_cv;2050;att_fuel_cost;5.62
tec_fcev;2018;att_fuel_cost;5.61
tec_bev;2018;att_infrast;with_res
tec_bev;2050;att_infrast;no_res
tec_fcev;2018;att_infrast;strong_res
tec_bev;2018;att_range;202
tec_bev;2018;att_v_type;BEV
tec_cv;2050;att_v_type;CV
tec_fcev;2050;att_v_type;FCEV
tec_bev;2018;att_w2w;low_co2
tec_cv;2018;att_w2w;medium_co2
tec_fcev;2050;att_w2w;low_co2
