c_specific_emissions_construction_year;c_specific_emissions_value
1979;180
1980;177
1981;173
1982;170
1983;166
1984;163
1985;159
1986;156
1987;153
1988;149
1989;146
1990;142
1991;139
1992;135
1993;132
1994;128
1995;125
1996;125
1997;124
1998;124
1999;123
2000;123
2001;122
2002;122
2003;121
2004;121
2005;120
2006;120
2007;119
2008;119
2009;118
2010;118
2011;118
2012;118
2013;117
2014;117
2015;117
2016;117
2017;117
2018;115
2019;103
2020;101
2021;99
2022;97
2023;95
2024;93
2025;91
2026;89
2027;87
2028;85
2029;83
2030;82
2031;80
2032;78
2033;77
2034;75
2035;73
2036;72
2037;70
2038;69
2039;67
2040;66
2041;65
2042;63
2043;62
2044;61
2045;59
2046;58
2047;57
2048;56
2049;55
2050;53
