year,alternative,probability
2018,tec_bev,0.23956661243703437
2018,tec_cv,0.7440009942809254
2018,tec_fcev,0.0164323932820403
2019,tec_bev,0.25830577658291465
2019,tec_cv,0.7243528020001382
2019,tec_fcev,0.01734142141694711
2020,tec_bev,0.27060542233624557
2020,tec_cv,0.7112385920335408
2020,tec_fcev,0.018155985630213672
2021,tec_bev,0.28103802341624473
2021,tec_cv,0.699995420494347
2021,tec_fcev,0.018966556089408185
2022,tec_bev,0.29067358257369724
2022,tec_cv,0.6896869381483339
2022,tec_fcev,0.019639479277968847
2023,tec_bev,0.2943526188650083
2023,tec_cv,0.6851584641747307
2023,tec_fcev,0.020488916960260898
2024,tec_bev,0.29595305351312673
2024,tec_cv,0.6827321255772848
2024,tec_fcev,0.02131482090958849
2025,tec_bev,0.2979859654860434
2025,tec_cv,0.6798182208689324
2025,tec_fcev,0.022195813645024192
2026,tec_bev,0.30892939444014
2026,tec_cv,0.6683450270988407
2026,tec_fcev,0.022725578461019382
2027,tec_bev,0.31833884375101834
2027,tec_cv,0.6583558756560557
2027,tec_fcev,0.023305280592925998
2028,tec_bev,0.2433251301851218
2028,tec_cv,0.738924049937308
2028,tec_fcev,0.01775081987757016
2029,tec_bev,0.25046252185389506
2029,tec_cv,0.7313847247350016
2029,tec_fcev,0.018152753411103274
2030,tec_bev,0.25230729116853956
2030,tec_cv,0.7092979064785384
2030,tec_fcev,0.03839480235292198
2031,tec_bev,0.42137267429412695
2031,tec_cv,0.5479223388089847
2031,tec_fcev,0.0307049868968884
2032,tec_bev,0.42753704645079316
2032,tec_cv,0.5409513573060504
2032,tec_fcev,0.03151159624315654
2033,tec_bev,0.4331279101669598
2033,tec_cv,0.534694899374017
2033,tec_fcev,0.03217719045902334
2034,tec_bev,0.4392283916383602
2034,tec_cv,0.527215826719659
2034,tec_fcev,0.033555781641980635
2035,tec_bev,0.44416840610429537
2035,tec_cv,0.5198058051392148
2035,tec_fcev,0.0360257887564898
2036,tec_bev,0.4470512019012858
2036,tec_cv,0.5141457904455906
2036,tec_fcev,0.0388030076531236
2037,tec_bev,0.45116135416694364
2037,tec_cv,0.5070037304502101
2037,tec_fcev,0.04183491538284618
2038,tec_bev,0.4549817856979062
2038,tec_cv,0.5000014876330438
2038,tec_fcev,0.04501672666905014
2039,tec_bev,0.45814030299812764
2039,tec_cv,0.49339299056411035
2039,tec_fcev,0.04846670643776198
2040,tec_bev,0.6343226374320837
2040,tec_cv,0.33021136872958806
2040,tec_fcev,0.035465993838328165
2041,tec_bev,0.6141031496706439
2041,tec_cv,0.3116711133845575
2041,tec_fcev,0.07422573694479855
2042,tec_bev,0.6156011727047334
2042,tec_cv,0.30472943273502934
2042,tec_fcev,0.07966939456023732
2043,tec_bev,0.6168113483562643
2043,tec_cv,0.2978744804728967
2043,tec_fcev,0.08531417117083899
2044,tec_bev,0.6180970707008595
2044,tec_cv,0.2906977713625105
2044,tec_fcev,0.09120515793662998
2045,tec_bev,0.6182790558867141
2045,tec_cv,0.2837874557644509
2045,tec_fcev,0.09793348834883492
2046,tec_bev,0.6192750885178051
2046,tec_cv,0.2758159753424628
2046,tec_fcev,0.10490893613973196
2047,tec_bev,0.6194155546350286
2047,tec_cv,0.2683241026247467
2047,tec_fcev,0.11226034274022473
2048,tec_bev,0.6195750831450845
2048,tec_cv,0.2600339939465759
2048,tec_fcev,0.12039092290833964
2049,tec_bev,0.6198145259770972
2049,tec_cv,0.2515597266063138
2049,tec_fcev,0.1286257474165891
2050,tec_bev,0.619431329884934
2050,tec_cv,0.24367863650165478
2050,tec_fcev,0.13689003361341123
